Invoice_ID,Order_Date,Client_ID,Client_Tier,Industry,City,Sales_Channel,Product_Category,Units_Sold,Revenue,Cost,Profit
INV000206,2024-12-10,CL0014,Platinum,Retail,Pune,Online,Services,18,12519.44,1419.27,11100.17
INV000207,2023-07-11,CL0081,Silver,Healthcare,Hyderabad,Partner,Hardware,19,1791.34,1444.34,347.0
INV000208,2023-07-16,CL0242,Bronze,Healthcare,Pune,Online,Hardware,3,6931.21,5209.25,1721.96
INV000209,2025-01-08,CL0063,Bronze,Manufacturing,Chennai,Partner,Software,11,20788.67,861.5,19927.17
INV000210,2025-03-04,CL0025,Bronze,Manufacturing,Chennai,Direct Sales,Hardware,8,1119.51,267.82,851.69
INV000211,2024-12-12,CL0003,Gold,Finance,Bangalore,Online,Subscription,20,5104.71,2598.67,2506.04
INV000212,2025-08-23,CL0166,Bronze,Finance,Hyderabad,Partner,Hardware,7,12900.33,10696.78,2203.55
INV000213,2024-12-08,CL0191,Silver,Retail,Chennai,Partner,Services,3,10670.23,8321.05,2349.18
INV000214,2024-11-16,CL0134,Gold,Finance,Hyderabad,Direct Sales,Software,6,20721.81,2840.87,17880.94
INV000215,2024-03-29,CL0174,Gold,Healthcare,Pune,Partner,Software,7,1815.92,479.12,1336.8
INV000216,2025-03-23,CL0130,Gold,Technology,Mumbai,Direct Sales,Subscription,15,21657.51,7245.37,14412.14
INV000217,2024-11-26,CL0055,Silver,Technology,Pune,Partner,Subscription,2,17081.55,3977.83,13103.72
INV000218,2025-09-30,CL0113,Bronze,Healthcare,Mumbai,Online,Subscription,18,7171.57,5483.12,1688.45
INV000219,2024-04-22,CL0066,Gold,Manufacturing,Mumbai,Direct Sales,Services,5,17217.07,7751.43,9465.64
INV000220,2024-02-02,CL0205,Platinum,Finance,Mumbai,Partner,Hardware,15,21993.12,14358.15,7634.97
INV000221,2023-08-28,CL0076,Bronze,Finance,Chennai,Direct Sales,Subscription,18,20203.25,8446.76,11756.49
INV000222,2025-06-15,CL0125,Bronze,Finance,Bangalore,Direct Sales,Software,19,13345.97,7621.0,5724.97
INV000223,2023-10-23,CL0090,Silver,Retail,Delhi,Online,Hardware,14,8503.66,2092.13,6411.53
INV000224,2024-05-19,CL0240,Gold,Technology,Mumbai,Partner,Hardware,20,24513.09,13070.36,11442.73
INV000225,2023-09-13,CL0224,Platinum,Technology,Hyderabad,Online,Software,14,2308.36,1671.16,637.2
INV000226,2024-11-08,CL0051,Bronze,Technology,Bangalore,Partner,Subscription,19,6014.52,1613.38,4401.14
INV000227,2025-01-26,CL0206,Silver,Finance,Bangalore,Online,Subscription,13,4815.18,689.69,4125.49
INV000228,2023-06-26,CL0127,Bronze,Healthcare,Mumbai,Partner,Services,17,4960.65,4182.29,778.36
INV000229,2024-08-01,CL0202,Platinum,Manufacturing,Hyderabad,Direct Sales,Hardware,4,17800.19,7861.81,9938.38
INV000230,2023-10-26,CL0207,Bronze,Healthcare,Pune,Partner,Hardware,12,11799.62,5723.32,6076.3
INV000231,2024-09-02,CL0168,Silver,Technology,Bangalore,Partner,Subscription,15,21514.9,7210.1,14304.8
INV000232,2024-10-14,CL0029,Platinum,Retail,Delhi,Partner,Hardware,13,1368.27,476.37,891.9
INV000233,2023-07-31,CL0177,Gold,Retail,Pune,Online,Subscription,3,23745.33,6994.13,16751.2
INV000234,2023-10-17,CL0055,Silver,Technology,Delhi,Direct Sales,Services,2,4346.83,2137.99,2208.84
INV000235,2025-09-17,CL0248,Silver,Manufacturing,Delhi,Online,Hardware,9,14166.83,4317.82,9849.01
INV000236,2025-06-07,CL0171,Platinum,Finance,Chennai,Partner,Hardware,8,19123.29,1494.1,17629.19
INV000237,2025-10-04,CL0238,Gold,Finance,Bangalore,Partner,Subscription,2,7714.01,3732.78,3981.23
INV000238,2025-10-08,CL0008,Silver,Retail,Chennai,Online,Software,15,17450.48,11481.41,5969.07
INV000239,2024-02-18,CL0167,Bronze,Retail,Chennai,Online,Software,15,10576.87,5867.32,4709.55
INV000240,2024-07-29,CL0079,Gold,Manufacturing,Pune,Direct Sales,Subscription,15,7188.88,3257.47,3931.41
INV000241,2024-10-01,CL0231,Gold,Manufacturing,Pune,Online,Subscription,19,21542.32,1096.45,20445.87
INV000242,2023-10-03,CL0184,Bronze,Healthcare,Delhi,Direct Sales,Software,19,5484.97,245.41,5239.56
